Date,T,K,Price
3/20/2009,0.07,850,0.45
3/20/2009,0.07,875,0.6
3/20/2009,0.07,900,0.15
3/20/2009,0.07,200,569.8
3/20/2009,0.07,300,469.95
3/20/2009,0.07,325,444.95
3/20/2009,0.07,350,420.05
3/20/2009,0.07,375,395.15
3/20/2009,0.07,400,370.25
3/20/2009,0.07,425,345.35
3/20/2009,0.07,440,0
3/20/2009,0.07,450,320.55
3/20/2009,0.07,475,295.75
3/20/2009,0.07,490,280.95
3/20/2009,0.07,500,271.1
3/20/2009,0.07,525,246.55
3/20/2009,0.07,530,241.65
3/20/2009,0.07,540,231.85
3/20/2009,0.07,540,330.45
3/20/2009,0.07,550,222.15
3/20/2009,0.07,560,212.45
3/20/2009,0.07,575,197.95
3/20/2009,0.07,580,193.15
3/20/2009,0.07,590,183.65
3/20/2009,0.07,600,174.15
3/20/2009,0.07,605,169.45
3/20/2009,0.07,610,164.75
3/20/2009,0.07,615,160.05
3/20/2009,0.07,620,155.4
3/20/2009,0.07,625,150.75
3/20/2009,0.07,630,146
3/20/2009,0.07,635,141.4
3/20/2009,0.07,640,136.9
3/20/2009,0.07,645,132.4
3/20/2009,0.07,650,127.9
3/20/2009,0.07,655,123.4
3/20/2009,0.07,660,119
3/20/2009,0.07,665,114.6
3/20/2009,0.07,670,110.3
3/20/2009,0.07,675,106
3/20/2009,0.07,680,101.8
3/20/2009,0.07,685,97.6
3/20/2009,0.07,690,93.4
3/20/2009,0.07,695,89.4
3/20/2009,0.07,700,85.3
3/20/2009,0.07,705,81.4
3/20/2009,0.07,710,77.5
3/20/2009,0.07,715,73.6
3/20/2009,0.07,720,69.65
3/20/2009,0.07,725,65.75
3/20/2009,0.07,730,62.3
3/20/2009,0.07,735,58.65
3/20/2009,0.07,740,55.2
3/20/2009,0.07,745,51.85
3/20/2009,0.07,750,48.55
3/20/2009,0.07,755,45.45
3/20/2009,0.07,760,42.3
3/20/2009,0.07,765,39.4
3/20/2009,0.07,770,36.6
3/20/2009,0.07,775,33.9
3/20/2009,0.07,780,31.3
3/20/2009,0.07,785,28.8
3/20/2009,0.07,790,26.65
3/20/2009,0.07,795,24.1
3/20/2009,0.07,800,22.35
3/20/2009,0.07,805,20.2
3/20/2009,0.07,810,18.05
3/20/2009,0.07,815,16.5
3/20/2009,0.07,820,14.75
3/20/2009,0.07,825,13.1
3/20/2009,0.07,830,12
3/20/2009,0.07,835,10.85
3/20/2009,0.07,840,9.45
3/20/2009,0.07,845,8.55
3/20/2009,0.07,850,7.1
3/20/2009,0.07,855,6.65
3/20/2009,0.07,860,5.8
3/20/2009,0.07,865,4.65
3/20/2009,0.07,870,4.15
3/20/2009,0.07,875,3.55
3/20/2009,0.07,880,3.3
3/20/2009,0.07,885,2.55
3/20/2009,0.07,890,2.35
3/20/2009,0.07,895,2.025
3/20/2009,0.07,900,1.7
3/20/2009,0.07,905,1.45
3/20/2009,0.07,910,1.175
3/20/2009,0.07,915,1
3/20/2009,0.07,920,1
3/20/2009,0.07,925,0.8
3/20/2009,0.07,930,0.775
3/20/2009,0.07,935,0.775
3/20/2009,0.07,940,0.775
3/20/2009,0.07,945,0.775
3/20/2009,0.07,950,0.375
3/20/2009,0.07,955,0.775
3/20/2009,0.07,960,0.25
3/20/2009,0.07,965,0.75
3/20/2009,0.07,970,0.275
3/20/2009,0.07,975,0.2
3/20/2009,0.07,980,0.7
3/20/2009,0.07,985,0.175
3/20/2009,0.07,990,0.675
3/20/2009,0.07,995,0.675
3/20/2009,0.07,1000,0.125
3/20/2009,0.07,1005,0.65
3/20/2009,0.07,1010,0.65
3/20/2009,0.07,1015,0.225
3/20/2009,0.07,1020,0.65
3/20/2009,0.07,1025,0.05
3/20/2009,0.07,1030,0.1
3/20/2009,0.07,1035,0.075
3/20/2009,0.07,1040,0.075
3/20/2009,0.07,1045,0.1
3/20/2009,0.07,1050,0.05
3/20/2009,0.07,1055,0.05
3/20/2009,0.07,1065,0.05
3/20/2009,0.07,1070,0.05
3/20/2009,0.07,1075,0.05
3/20/2009,0.07,1090,0.05
3/20/2009,0.07,1100,0.05
3/20/2009,0.07,1125,0.05
3/20/2009,0.07,1150,0.05
3/20/2009,0.07,1175,0.05
3/20/2009,0.07,1180,0.05
3/20/2009,0.07,1185,0.05
3/20/2009,0.07,1190,0.05
3/20/2009,0.07,1195,0.05
3/20/2009,0.07,1200,0.05
3/20/2009,0.07,1215,0.05
3/20/2009,0.07,1225,0.05
3/20/2009,0.07,1250,0.05
3/20/2009,0.07,1275,0.05
3/20/2009,0.07,1300,0.025
3/20/2009,0.07,1325,0.025
3/20/2009,0.07,1350,0.025
3/20/2009,0.07,1375,0.025
3/20/2009,0.07,1385,0.025
3/20/2009,0.07,1400,0.025
3/20/2009,0.07,1425,0.025
3/20/2009,0.07,1450,0.025
3/20/2009,0.07,1475,0.025
3/20/2009,0.07,1500,0.025
3/20/2009,0.07,1525,0.05
3/20/2009,0.07,1550,0.05
3/20/2009,0.07,1575,0.05
3/20/2009,0.07,1600,0.025
3/20/2009,0.07,1650,0.05
3/20/2009,0.07,1700,0.05
3/20/2009,0.07,1750,0.05
3/20/2009,0.07,1800,0.05
3/20/2009,0.07,1850,0.05
3/20/2009,0.07,1875,0.05
3/20/2009,0.07,1900,0.05
3/20/2009,0.07,2000,0.05
3/20/2009,0.07,400,370.15
3/20/2009,0.07,425,345.4
